 UJEŚCISKO-ŁOSTOWICE ,  ﻿11 Listopada
 CHEŁM ,  3 Brygady Szczerbca
 ŚRÓDMIEŚCIE ,  3 Maja
 VII DWÓR ,  Antoniego Abrahama
 OLIWA ,  Antoniego Abrahama
 OSOWA ,  Achillesa
 OSOWA ,  Afrodyty
 MATARNIA ,  Agrarna
 WRZESZCZ GÓRNY ,  Akacjowa
 ŚRÓDMIEŚCIE ,  Aksamitna
 OSOWA ,  Akteona
 WYSPA SOBIESZEWSKA ,  Akwenowa
 WRZESZCZ DOLNY ,  Aldony
 OLSZYNKA ,  Altanki
 CHEŁM ,  Ametystowa
 PIECKI-MIGOWO ,  Amundsena
 PRZERÓBKA ,  Christiana Andersena
 OSOWA ,  Andromedy
 ŚRÓDMIEŚCIE ,  Angielska Grobla
 CHEŁM ,  Antoniego Antczaka
 OSOWA ,  Antygony
 STRZYŻA ,  Krzysztofa Arciszewskiego
 PIECKI-MIGOWO ,  Henryka Arctowskiego
 OSOWA ,  Ariadny
 PRZYMORZE MAŁE ,  Arkońska
 CHEŁM ,  Aleja Armii Krajowej
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Aroniowa
 OSOWA ,  Artemidy
 WZGÓRZE MICKIEWICZA ,  Asesora
 OLIWA ,  Adama Asnyka
 MATARNIA ,  Astronautów
 OSOWA ,  Astronomów
 WYSPA SOBIESZEWSKA ,  Astrowa
 OSOWA ,  Ateny
 WRZESZCZ DOLNY ,  Zygmunta Augusta
 CHEŁM ,  Augustowska
 ŚRÓDMIEŚCIE ,  Jana Augustyńskiego
 KOKOSZKI ,  Azaliowa
 MATARNIA ,  Azymutalna
 SUCHANINO ,  Grażyny Bacewicz
 SUCHANINO ,  Jana Sebastiana Bacha
 WRZESZCZ DOLNY ,  Krzysztofa Kamila Baczyńskiego
 ZASPA-MŁYNIEC ,  Jerzego Bajana
 PRZERÓBKA ,  Bajki
 OSOWA ,  Wacława Balcerskiego
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Bałtycka
 KOKOSZKI ,  Banińska
 KOKOSZKI ,  Barkoczyńska
 OSOWA ,  Barniewicka
 WRZESZCZ GÓRNY ,  Barokowa
 WZGÓRZE MICKIEWICZA ,  Bartka
 CHEŁM ,  Bartnicza
 WYSPA SOBIESZEWSKA ,  Barwna
 CHEŁM ,  Erwiny Barzychowskiej
 STOGI ,  Basen Górniczy 
 ŚRÓDMIEŚCIE ,  Bastion Św. Elżbiety
 ŚRÓDMIEŚCIE ,  Basztowa
 UJEŚCISKO-ŁOSTOWICE ,  Baśniowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Batalionów Chłopskich
 WRZESZCZ GÓRNY ,  Stefana Batorego
 OLIWA ,  Jana Bażyńskiego
 SIEDLCE ,  Lecha Bądkowskiego
 ŚRÓDMIEŚCIE ,  Bednarska
 SUCHANINO ,  Ludwika Beethovena
 WYSPA SOBIESZEWSKA ,  Begoniowa
 PIECKI-MIGOWO ,  Belgradzka
 VII DWÓR ,  Franciszka Bellinga
 SIEDLCE ,  gen. Józefa Bema
 PRZYMORZE MAŁE ,  Maurycego Beniowskiego
 RUDNIKI ,  Benzynowa
 OSOWA ,  Bereniki
 UJEŚCISKO-ŁOSTOWICE ,  Konstantego Bergiela
 UJEŚCISKO-ŁOSTOWICE ,  Beskidzka
 KOKOSZKI ,  Betoniarzy
 KOKOSZKI ,  Będomińska
 WRZESZCZ DOLNY ,  Biała
 UJEŚCISKO-ŁOSTOWICE ,  Białostocka
 WRZESZCZ GÓRNY ,  Mirona Białoszewskiego
 UJEŚCISKO-ŁOSTOWICE ,  Białowieska
 CHEŁM ,  Władysława Biegańskiego
 ŚRÓDMIEŚCIE ,  Bielańska
 CHEŁM ,  Edmunda Biernackiego
 UJEŚCISKO-ŁOSTOWICE ,  Bieszczadzka
 KOKOSZKI ,  Bieszkowicka
 KOKOSZKI ,  Biologiczna
 ŚRÓDMIEŚCIE ,  Biskupia
 OLIWA ,  Bitwy Oliwskiej
 CHEŁM ,  Bitwy pod Lenino
 OSOWA ,  Biwakowa
 NOWY PORT ,  Bliska
 NOWY PORT ,  Blizowa
 OSOWA ,  Bliźniąt
 OLSZYNKA ,  Bluszczowa
 ŚRÓDMIEŚCIE ,  Błędnik (wiadukt) 
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Błękitna
 OLSZYNKA ,  Błońska
 OLIWA ,  Bobrowa
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Boczna
 WYSPA SOBIESZEWSKA ,  Mieczysława Boguckiego
 ŚRÓDMIEŚCIE ,  Wojciecha Bogusławskiego
 WRZESZCZ DOLNY ,  Bohaterów Getta Warszawskiego
 WRZESZCZ DOLNY ,  Franciszka Bohomolca
 PRZYMORZE MAŁE ,  gen. Bora-Komorowskiego
 OSOWA ,  kpt. Karola Olgierda Borchardta
 CHEŁM ,  Borkowska
 UJEŚCISKO-ŁOSTOWICE ,  Michała Borowskiego
 KOKOSZKI ,  Borówkowa
 KOKOSZKI ,  Borska
 JASIEŃ ,  Borsucza
 ŚRÓDMIEŚCIE ,  Bosmańska
 KOKOSZKI ,  Botaniczna
 WRZESZCZ GÓRNY ,  Bracka
 UJEŚCISKO-ŁOSTOWICE ,  kmdr. Tadeusza Bramińskiego
 OLSZYNKA ,  Bratki
 KOKOSZKI ,  Brodnicka
 BRZEŹNO ,  Władysława Broniewskiego
 ŚRÓDMIEŚCIE ,  Browarna
 CHEŁM ,  Tadeusza Browicza
 WRZESZCZ GÓRNY ,  Jana Brożka
 SIEDLCE ,  Brukowa
 CHEŁM ,  Alojzego Bruskiego
 ŚRÓDMIEŚCIE ,  Brygidki
 CHEŁM ,  Brylantowa
 PRZERÓBKA ,  Jana Brzechwy
 ORUNIA-ŚW. WOJCIECH-LIPCE ,  Brzegi
 BRZEŹNO ,  Brzeźnieńska
 JASIEŃ ,  Brzoskwiniowa
 WRZESZCZ GÓRNY ,  Brzozowa
 CHEŁM ,  Mariana Buczka
 PIECKI-MIGOWO ,  Budapesztańska
 MATARNIA ,  Budowlanych
 KOKOSZKI ,  Budowlanych
 STOGI ,  Budowniczych Portu Północnego
 ZASPA-ROZSTAJE ,  Budziszów
 STOGI ,  Wosia Budzysza
 OSOWA ,  Bukowa
 VII DWÓR ,  Bronisława Bukowskiego
 PIECKI-MIGOWO ,  Bulońska
 PIECKI-MIGOWO ,  Burgaska
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Bursztynowa
 ZASPA-ROZSTAJE ,  Zbigniewa Burzyńskiego
 PRZYMORZE MAŁE ,  Bydgoska
 KOKOSZKI ,  Bysewska
 SIEDLCE ,  Bystrzycka
 OLIWA ,  Bytowska
 PRZYMORZE MAŁE ,  Bzowa
 CHEŁM ,  prof. Romualda Cebertowicza
 UJEŚCISKO-ŁOSTOWICE ,  Cedrowa
 OSOWA ,  Cefeusza
 WRZESZCZ GÓRNY ,  Ceglana
 KOKOSZKI ,  Cementowa
 OSOWA ,  Centaura
 OSOWA ,  Cerery
 OLIWA ,  Floriana Ceynowy
 KOKOSZKI ,  Chabrowa
 CHEŁM ,  Tytusa Chałubińskiego
 PRZERÓBKA ,  Jana Charpantiera
 KOKOSZKI ,  Charzykowska
 OSOWA ,  Chełmińska
 VII DWÓR ,  Józefa Chełmońskiego
 PRZERÓBKA ,  Chemików
 OSOWA ,  Chirona
 ŚRÓDMIEŚCIE ,  Chlebnicka
 ŚRÓDMIEŚCIE ,  Chłodna
 PRZYMORZE MAŁE ,  Chłopska
 PRZYMORZE WIELKIE ,  Chłopska
 ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Chłopska
 ŚRÓDMIEŚCIE ,  Chmielna
 PRZYMORZE MAŁE ,  Józefa Chociszewskiego
 KOKOSZKI ,  Choczewska
 LETNICA ,  Mariana Chodackiego
 BRZEŹNO ,  Karola Chodkiewicza
 ANIOŁKI ,  Daniela Chodowieckiego
 OSOWA ,  Chojnicka
 STRZYŻA ,  Fryderyka Chopina
 WRZESZCZ DOLNY ,  Bolesława Chrobrego
 STRZYŻA ,  Bernarda Chrzanowskiego
 MŁYNISKA ,  Chwaszczyńska
 CHEŁM ,  Zygmunta Chychły
 SIEDLCE ,  Ciasna
 BRZEŹNO ,  Cicha
